Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
,,,,Deal,Free,Deal,Free,,,,,,,,
10773,BHAGALPUR KATARNI 25K.G,PCS,-1,0,0,0,0,0,1200,1150,1200,-BLANK-,,,VS18439
10898,BIG CRYSTAL SUGAR 100G,PCS,-5,0,0,0,0,0,6,4.6,6,SUNRISE,,,VS35435
10205,BIG CRYSTAL SUGAR 250G,PCS,-61,0,0,0,0,0,15,11.55,15,ITC,,,B250
10204,BIG CRYSTAL SUGAR 500G,PCS,-77,0,0,0,0,0,28,23.1,28,ITC,,,B500
9050,BIKAJI ALL IN ONE 200GM,PCS,-24,0,0,0,0,49,60,43.75,60,BIKAJI,,,8906005501257
9252,BIKAJI ALL IN ONE 400G,PCS,-14,0,0,0,0,94,120,83.93,120,BIKAJI,,,8906005501288
10121,BIKAJI BAAT CHEET PAPAD 200G,PCS,-36,0,0,0,0,50,65,50,65,BIKAJI,,,8906005502568
7866,BIKAJI BAAT CHEET PAPAD 400G,PCS,-39,0,0,0,0,95,130,95,130,BIKAJI,,,8906005502575
10680,BIKAJI BHUJIA 1K.G,PCS,-6,0,0,0,0,229.99,320,205.36,320,BIKAJI,,,8906005500090
10223,BIKAJI BHUJIA 200G,PCS,-21,0,0,0,0,49,60,43.75,60,BIKAJI,,,8906005500052
10225,BIKAJI BHUJIA 400G,PCS,-22,0,0,0,0,94,120,83.93,120,BIKAJI,,,8906005500083
11197,BIKAJI BHUJIA MRP5,PCS,-4,0,0,0,0,0,5,4.15,5,BIKAJI,,,8906005500014
10995,BIKAJI COCONUT COOKIES 200G,PCS,2,0,0,0,0,41.26,55,34.96,55,BIKAJI,,,8906005502810
10994,BIKAJI PUNJABI COOKIES 200GM,PCS,6,0,0,0,0,41.26,55,34.96,55,BIKAJI,,,8906005502797
11086,BIKAJI SAB-KUCH 400G,PCS,12,0,0,0,0,94,120,83.93,120,BIKAJI,,,8906005500885
858,BIKAJI SOAN PAPDI 500GM,PCS,-95,0,0,0,0,88,135,83.81,135,BIKAJI,,,8906005503282
11034,BINA GOLD 1K.G,PCS,-34,0,0,0,0,0,47,44,46,-BLANK-,,,VA43575
10402,BINA GOLD 25K.G,PCS,-3,0,0,0,0,0,988,950,1100,-BLANK-,,,VS29182
9651,BINA GOLD 25KG,PCS,-6,0,0,0,0,0,980,950,965,HUL,,,VC26597
11273,BIRLA MORTAN GOL GAPPA PAANI MASALA 200ML,PCS,12,0,0,0,0,44,55,39.28,55,BIRLA'S,,,8901439002448
11275,BIRLA MORTAN GREEN CHILLI SAUCE 90G,PCS,21,0,0,0,0,16.99,20,15.17,20,BIRLA'S,,,8901439004046
11274,BIRLA MORTAN TOMATO KETCHUP 450G,PCS,5,0,0,0,0,42.01,50,37.5,50,BIRLA'S,,,8901439003728
11276,BIRLA MORTAN TOMATO KETCHUP 950G,PCS,3,0,0,0,0,99.01,130,88.39,130,BIRLA'S,,,8901439003575
11025,BIRLA MORTAN VERMICELLI ROASTED 400G,PCS,6,0,0,0,0,39,50,37.14,50,MORTON,,,8901439004824
11026,BIRLA MORTAN VERMICELLI ROASTED 90G,PCS,33,0,0,0,0,7.5,10,7.14,10,MORTON,,,8901439004817
11074,BIRLA MORTON FUSILLI PASTA 450G,PCS,-4,0,0,0,0,0,125,49.1,125,BIRLA'S,,,8901439004572
11047,BIRLA MORTON MACARONI PASTA 450G,PCS,9,0,0,0,0,54.99,125,49.1,125,MORTON,,,8901439004558
765,BIRLA MORTON MUSHROOM 800GM,PCS,6,0,0,0,0,125.02,229,125,229,MORTON,,,8901439000598
11189,BISK FARM BOURBON 150G,PCS,38,0,0,0,0,31.25,35,26.48,35,BISK FARM,,,8901928112009
10787,BISK FARM CHAMP MALT 35,PCS,5,0,0,0,0,30.34,35,25.71,35,BISK FARM,,,8901928802504
11266,BISK FARM CHAMP MILKUIT 200G,PCS,26,0,0,0,0,26,30,22.03,30,BISK FARM,,,8901928042252
10791,BISK FARM CHATPATA SPICY 200G,PCS,47,0,0,0,0,31.25,35,26.48,35,BISK FARM,,,8901928272703
11058,BISK FARM ENGLISH CRACKER 150G,PCS,31,0,0,0,0,35.72,40,30.27,40,BISK FARM,,,8901928611502
10789,BISK FARM GOOGLY 250G,PCS,-6,0,0,0,0,30.62,35,25.95,35,BISK FARM,,,8901928352504
10788,BISK FARM GOOGLY 80G,PCS,46,0,0,0,0,8.74,10,7.41,10,BISK FARM,,,8901928350951
10790,BISK FARM HEYLO 200G,PCS,39,0,0,0,0,31.07,35,26.33,35,BISK FARM,,,8901928421804
11149,BISK FARM HEYLO ARTISAN 100G,PCS,24,0,0,0,0,35.7,40,30.25,40,BISK FARM,,,8906017863039
10783,BISK FARM JEERA WONDER 200G,PCS,23,0,0,0,0,25.99,30,22.03,30,BISK FARM,,,8901928692006
10785,BISK FARM MILK CREAM 35,PCS,13,0,0,0,0,31.25,35,26.48,35,BISK FARM,,,8901928142006
11055,BISK FARM MUST JEERA 200G,PCS,6,0,0,0,0,44.63,50,37.82,50,BISK FARM,,,8901928152500
10786,BISK FARM NICE 150G,PCS,5,0,0,0,0,22.33,25,18.92,25,BISK FARM,,,8901928131505
10781,BISK FARM ORANGE CREAM 35,PCS,-10,0,0,0,0,31.25,35,26.48,35,BISK FARM,,,8901928091755
10792,BISK FARM RICH MARIE 300G,PCS,-8,0,0,0,0,33.89,40,28.72,40,BISK FARM,,,8901928753004
11056,BISK FARM RUSKIT GOLD 180G,PCS,-23,0,0,0,0,26,30,24.76,30,BISK FARM,,,8906017861325
863,BISK FARM THE TOP 200G,PCS,-1,0,0,0,0,25.45,30,21.57,30,BISK FARM,,,8901928222401
10795,BISK FARM TIFFUN SLICE 10,PCS,5,0,0,0,0,8.5,10,7.2,10,BISK FARM,,,8906017861295
11057,BISK FARM TIFFUN SLICE MAWA CAKE 70G,PCS,33,0,0,0,0,17.86,20,15.14,20,BISK FARM,,,8906017863084
851,BISK FARM TOP GOLD 200G,PCS,15,0,0,0,0,31.25,35,26.48,35,BISK FARM,,,8901928302509
10784,BISK FARM TOP HERBS 200G,PCS,-4,0,0,0,0,31.26,35,26.49,35,BISK FARM,,,8901928221756
11059,BISKFARM ELAICHI WONDER 350G,PCS,3,0,0,0,0,40.18,45,34.05,45,BISK FARM,,,8901928474008
887,BLACK PAPPER,PCS,-1,0,0,20,1,53.6,67,53.6,67,EVEREST,,,8901786260508
9861,BLACK PEPPER 100G,PCS,-36,0,0,0,0,0,80,61,75,WIPRO,,,VY49723
10696,BLACK PEPPER 250G,PCS,-6,0,0,0,0,0,180,0,165,-BLANK-,,,VR21507
10249,BLACK PEPPER 50G,PCS,-11,0,0,0,0,0,39,0,35,BABILA,,,VL31657
10219,BLACK PEPPER WHOLE 500GM,PCS,-2,0,0,0,0,0,350,290.48,350,ROBLE AGRO FOODS PVT LTD,,,VR16700
6323,BLACK SALT 100G,PCS,-1,0,0,0,0,6,10,6,10,RUCHI,,,
10642,BLACK SARSO 500G,PCS,-4,0,0,0,0,0,40,38,40,-BLANK-,,,VA48450
